
async_bond_destroy,miami
bond_set_mode,boston
async_bond_set_mode,boston
bond_set_property,tampa
async_bond_set_property,tampa
vlan_create,miami
async_vlan_create,miami
vlan_destroy,miami
async_vlan_destroy,miami
sr_create,rio
async_sr_create,rio
sr_introduce,rio
async_sr_introduce,rio
sr_make,rio
async_sr_make,rio
sr_destroy,rio
async_sr_destroy,rio
sr_forget,rio
async_sr_forget,rio
sr_update,symc
async_sr_update,symc
sr_get_supported_types,rio
sr_scan,rio
async_sr_scan,rio
sr_probe,miami
async_sr_probe,miami
sr_set_shared,rio
async_sr_set_shared,rio
sr_set_name_label,rio
async_sr_set_name_label,rio
sr_set_name_description,rio
async_sr_set_name_description,rio
sr_create_new_blob,orlando
async_sr_create_new_blob,orlando
sr_set_physical_size,miami
sr_set_virtual_allocation,miami
sr_set_physical_utilisation,miami
sr_assert_can_host_ha_statefile,orlando
async_sr_assert_can_host_ha_statefile,orlando
sr_assert_supports_database_replication,boston
async_sr_assert_supports_database_replication,boston
sr_enable_database_replication,boston
async_sr_enable_database_replication,boston
sr_disable_database_replication,boston
async_sr_disable_database_replication,boston
vdi_snapshot,rio
async_vdi_snapshot,rio
vdi_clone,rio
async_vdi_clone,rio
vdi_resize,rio
async_vdi_resize,rio
vdi_resize_online,rio
async_vdi_resize_online,rio
vdi_introduce,miami
async_vdi_introduce,miami
vdi_db_introduce,rio
async_vdi_db_introduce,rio
vdi_db_forget,miami
async_vdi_db_forget,miami
vdi_update,symc
async_vdi_update,symc
vdi_copy,rio
async_vdi_copy,rio
vdi_set_managed,rio
vdi_forget,rio
async_vdi_forget,rio
vdi_set_sharable,george
vdi_set_read_only,rio
vdi_set_missing,miami
vdi_set_virtual_size,miami
vdi_set_physical_utilisation,miami
vdi_set_is_a_snapshot,boston
vdi_set_snapshot_of,boston
vdi_set_snapshot_time,boston
vdi_set_metadata_of_pool,boston
vdi_set_name_label,rio
async_vdi_set_name_label,rio
vdi_set_name_description,rio
async_vdi_set_name_description,rio
vdi_set_on_boot,cowley
async_vdi_set_on_boot,cowley
vdi_set_allow_caching,cowley
async_vdi_set_allow_caching,cowley
vdi_open_database,boston
async_vdi_open_database,boston
vdi_read_database_pool_uuid,boston
async_vdi_read_database_pool_uuid,boston
vdi_pool_migrate,tampa
async_vdi_pool_migrate,tampa
vbd_eject,rio
async_vbd_eject,rio
vbd_insert,rio
async_vbd_insert,rio
vbd_plug,rio
async_vbd_plug,rio
vbd_unplug,rio
async_vbd_unplug,rio
vbd_unplug_force,rio
async_vbd_unplug_force,rio
vbd_assert_attachable,rio
async_vbd_assert_attachable,rio
pbd_plug,rio
async_pbd_plug,rio
pbd_unplug,rio
async_pbd_unplug,rio
pbd_set_device_config,miami
async_pbd_set_device_config,miami
crashdump_destroy,rio
async_crashdump_destroy,rio
blob_create,orlando
blob_destroy,orlando
message_create,orlando
message_destroy,orlando
message_get,orlando
message_get_all,orlando
message_get_since,orlando
message_get_record,orlando
message_get_by_uuid,orlando
message_get_all_records,orlando
message_get_all_records_where,orlando
tunnel_create,cowley
async_tunnel_create,cowley
tunnel_destroy,cowley
async_tunnel_destroy,cowley
vgpu_create,boston
async_vgpu_create,boston
vgpu_destroy,boston
async_vgpu_destroy,boston
